ticker,included,missing_pct
A,True,0.0
AAPL,True,0.0
ABBV,True,0.0
ABT,True,0.0
ACGL,True,0.0
ACN,True,0.0
ADBE,True,0.0
ADI,True,0.0
ADM,True,0.0
ADP,True,0.0
ADSK,True,0.0
AEE,True,0.0
AEP,True,0.0
AFL,True,0.0
AIG,True,0.0
AJG,True,0.0
ALL,True,0.0
AMAT,True,0.0
AMD,True,0.0
AME,True,0.0
AMGN,True,0.0
AMP,True,0.0
AMT,True,0.0
AMZN,True,0.0
AON,True,0.0
APD,True,0.0
APH,True,0.0
APO,True,0.0
AVB,True,0.0
AVGO,True,0.0
AWK,True,0.0
AXP,True,0.0
AZO,True,0.0
BA,True,0.0
BAC,True,0.0
BALL,True,0.0
BAX,True,0.0
BBY,True,0.0
BDX,True,0.0
BIIB,True,0.0
BK,True,0.0
BKNG,True,0.0
BKR,True,0.0
BLK,True,0.0
BMY,True,0.0
BR,True,0.0
BSX,True,0.0
C,True,0.0
CAH,True,0.0
CAT,True,0.0
CB,True,0.0
CBRE,True,0.0
CCI,True,0.0
CDNS,True,0.0
CDW,True,0.0
CF,True,0.0
CHD,True,0.0
CI,True,0.0
CL,True,0.0
CLX,True,0.0
CMCSA,True,0.0
CME,True,0.0
CMG,True,0.0
CNC,True,0.0
CNP,True,0.0
COF,True,0.0
COP,True,0.0
COST,True,0.0
CPAY,True,0.0
CPRT,True,0.0
CRM,True,0.0
CSCO,True,0.0
CSGP,True,0.0
CTAS,True,0.0
CTSH,True,0.0
CTVA,True,0.0
CVS,True,0.0
CVX,True,0.0
D,True,0.0
DAL,True,0.0
DD,True,0.0
DE,True,0.0
DG,True,0.0
DHR,True,0.0
DLR,True,0.0
DOW,True,0.0
DTE,True,0.0
DUK,True,0.0
DVN,True,0.0
DXCM,True,0.0
EA,True,0.0
ECL,True,0.0
ED,True,0.0
EFX,True,0.0
EL,True,0.0
EOG,True,0.0
EQIX,True,0.0
EQR,True,0.0
ES,True,0.0
ETN,True,0.0
ETR,True,0.0
EW,True,0.0
EXC,True,0.0
EXPD,True,0.0
EXPE,True,0.0
EXR,True,0.0
F,True,0.0
FANG,True,0.0
FAST,True,0.0
FCX,True,0.0
FDX,True,0.0
FIS,True,0.0
FITB,True,0.0
FTNT,True,0.0
FTV,True,0.0
GE,True,0.0
GILD,True,0.0
GIS,True,0.0
GLW,True,0.0
GM,True,0.0
GOOGL,True,0.0
GPN,True,0.0
GS,True,0.0
GWW,True,0.0
HBAN,True,0.0
HCA,True,0.0
HD,True,0.0
HLT,True,0.0
HOLX,True,0.0
HON,True,0.0
HPE,True,0.0
HPQ,True,0.0
HSY,True,0.0
HUBB,True,0.0
HUM,True,0.0
IBM,True,0.0
ICE,True,0.0
IDXX,True,0.0
IFF,True,0.0
INTC,True,0.0
INTU,True,0.0
INVH,True,0.0
IQV,True,0.0
IR,True,0.0
IRM,True,0.0
ISRG,True,0.0
IT,True,0.0
ITW,True,0.0
J,True,0.0
JCI,True,0.0
JNJ,True,0.0
JPM,True,0.0
KDP,True,0.0
KEYS,True,0.0
KHC,True,0.0
KLAC,True,0.0
KMB,True,0.0
KMI,True,0.0
KO,True,0.0
LDOS,True,0.0
LH,True,0.0
LHX,True,0.0
LIN,True,0.0
LLY,True,0.0
LOW,True,0.0
LRCX,True,0.0
LVS,True,0.0
LYB,True,0.0
MA,True,0.0
MAR,True,0.0
MCD,True,0.0
MCHP,True,0.0
MCO,True,0.0
MDT,True,0.0
META,True,0.0
MLM,True,0.0
MMC,True,0.0
MMM,True,0.0
MNST,True,0.0
MO,True,0.0
MOH,True,0.0
MPWR,True,0.0
MRK,True,0.0
MS,True,0.0
MSCI,True,0.0
MSFT,True,0.0
MSI,True,0.0
MTB,True,0.0
MTD,True,0.0
MU,True,0.0
NDAQ,True,0.0
NEE,True,0.0
NEM,True,0.0
NFLX,True,0.0
NKE,True,0.0
NOW,True,0.0
NSC,True,0.0
NTRS,True,0.0
NUE,True,0.0
NVDA,True,0.0
NXPI,True,0.0
O,True,0.0
ODFL,True,0.0
ON,True,0.0
ORCL,True,0.0
ORLY,True,0.0
PAYX,True,0.0
PCAR,True,0.0
PEG,True,0.0
PEP,True,0.0
PFE,True,0.0
PG,True,0.0
PH,True,0.0
PKG,True,0.0
PLD,True,0.0
PM,True,0.0
PNC,True,0.0
PPG,True,0.0
PPL,True,0.0
PRU,True,0.0
PSA,True,0.0
PSX,True,0.0
PTC,True,0.0
PWR,True,0.0
QCOM,True,0.0
REGN,True,0.0
RF,True,0.0
RJF,True,0.0
RMD,True,0.0
ROK,True,0.0
ROP,True,0.0
ROST,True,0.0
RSG,True,0.0
RTX,True,0.0
SBAC,True,0.0
SBUX,True,0.0
SCHW,True,0.0
SHW,True,0.0
SLB,True,0.0
SNPS,True,0.0
SO,True,0.0
SPG,True,0.0
SPGI,True,0.0
SRE,True,0.0
STE,True,0.0
STLD,True,0.0
STT,True,0.0
STZ,True,0.0
SYK,True,0.0
T,True,0.0
TDG,True,0.0
TDY,True,0.0
TEL,True,0.0
TGT,True,0.0
TJX,True,0.0
TMO,True,0.0
TRGP,True,0.0
TROW,True,0.0
TRV,True,0.0
TSCO,True,0.0
TSLA,True,0.0
TSN,True,0.0
TT,True,0.0
TTWO,True,0.0
TXN,True,0.0
TYL,True,0.0
UNH,True,0.0
UNP,True,0.0
UPS,True,0.0
URI,True,0.0
USB,True,0.0
V,True,0.0
VICI,True,0.0
VMC,True,0.0
VRSK,True,0.0
VRTX,True,0.0
VZ,True,0.0
WAB,True,0.0
WBD,True,0.0
WEC,True,0.0
WELL,True,0.0
WFC,True,0.0
WM,True,0.0
WMB,True,0.0
WMT,True,0.0
WTW,True,0.0
WY,True,0.0
XOM,True,0.0
XYL,True,0.0
YUM,True,0.0
ZBH,True,0.0
ZTS,True,0.0
