id,Name,Category,n_stocks,mv_vol,ew_vol,vol_reduction,current_ewma_vol,hist_var_99,covid_var_99,div_ratio,eff_n
P1,S&P 500 Large-Cap,Market,146,14.010407907100268,19.02887709498619,26.37291293035998,12.912888989845857,2.3591893780088644,8.025216169616359,1.7123862942723231,24.335263564738273
P2,S&P 500 Concentrated,Market,49,15.18104027762429,19.24070755149998,21.099365826384098,13.29217442885286,2.590114795104445,8.693350782445876,1.6331834910019785,21.88391722081275
P3,S&P 500 Mid-Range,Market,97,14.736414799282157,19.32052677641195,23.726640739042605,13.604742486950524,2.5911970002469356,8.868205832924435,1.7273157485466708,22.07549083898986
P4,Russell 1000 Proxy,Market,146,14.010407907100268,19.02887709498619,26.37291293035998,12.912888989845857,2.3591893780088644,8.025216169616359,1.7123862942723231,24.335263564738273
P5,NASDAQ-100 Tech-Heavy,Sector,43,17.05401762118161,22.82064975360263,25.26935996426069,14.1820121710471,3.0985746312936646,9.621809486227061,1.6088025136439654,20.13445591898518
P6,Sector: Technology,Sector,47,20.407366766453354,25.24630135245583,19.166904959453674,17.867562498370365,3.6475767958214576,9.551408904933755,1.4709157094044851,21.30601830339783
P7,Sector: Defensive,Sector,48,14.21318603915546,16.0055911016308,11.198618352137661,12.488614060017552,2.2910268090606034,7.244619711633447,1.609609282845188,22.56078454928562
P8,Balanced Sector,Sector,34,15.35394359384611,18.376993441639534,16.4501873355608,14.32410548400587,2.5876252707632315,9.526725373557678,1.6223151783628895,21.673007687967605
P9,International Developed,China/Global,20,14.989469336256217,17.089028871280533,12.28600847268034,14.200152344565616,2.564267960257778,8.370074336261972,1.6180978846915797,11.989635182049005
P10,Global All-Weather,China/Global,35,14.48217065300902,17.746431369134132,18.393899304186586,13.450122008242966,2.358110939126665,8.738228200735252,1.7130311038916641,21.516525553550835
